,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list,has_leaf_on_bottom_of_triangle,reticulated_cherries,Iteration,Newick
7894,7894,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,7894,"((((A)#R1,((B)#R0,#H1)),#H0))"
7895,7895,2,0.5435644431995964,[5],['A'],B,True,None,0,7895,"(((A)#R1,((#H1)#R0,(B,#H0))))"
7896,7896,2,0.5435644431995964,[5],['B'],A,False,None,1,7896,"(((((B)#R0)#R1,(A,#H0)),#H1))"
7897,7897,2,0.5435644431995964,[5],['B'],A,False,None,1,7897,"((((#H0)#R1,((B)#R0,A)),#H1))"
7898,7898,2,1.0,[4],['B'],None,False,B,0,7898,"((((((B)#R1)#R0,#H1),#H0),A))"
7899,7899,2,0.5435644431995964,[5],['A'],B,False,None,0,7899,"((((((A)#R1)#R0,B),#H1),#H0))"
7900,7900,2,0.8112781244591328,[5],['B'],None,False,B,0,7900,"(((A,(((B)#R0)#R1,#H0)),#H1))"
7901,7901,2,0.8112781244591328,[5],['A'],B,False,A,0,7901,"(((((A)#R1)#R0,B),(#H0,#H1)))"
7902,7902,2,1.0,[4],['A'],None,False,A,0,7902,"((B,((((A)#R1)#R0,#H1),#H0)))"
7903,7903,2,0.8112781244591328,[5],['B'],None,False,B,0,7903,"(((A,(((B)#R0)#R1,#H0)),#H1))"
7904,7904,2,0.8112781244591328,[5],['A'],B,False,A,0,7904,"(((#H0,#H1),(((A)#R0)#R1,B)))"
7905,7905,2,0.5435644431995964,[5],['A'],B,True,None,0,7905,"(((A)#R1,((B,(#H1)#R0),#H0)))"
7906,7906,2,0.5435644431995964,[5],['B'],A,False,None,1,7906,"((((B)#R1)#R0,((A,#H1),#H0)))"
7907,7907,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,7907,"(((((A)#R0,(B)#R1),#H0),#H1))"
7908,7908,2,0.5435644431995964,[5],['B'],A,False,None,1,7908,"(((#H0)#R1,(((B)#R0,A),#H1)))"
7909,7909,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,7909,"(((((B)#R0,(A)#R1),#H1),#H0))"
7910,7910,2,0.8112781244591328,[5],['A'],B,False,A,0,7910,"((((A)#R0,(#H0)#R1),(B,#H1)))"
7911,7911,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,7911,"(((((B)#R0,(A)#R1),#H1),#H0))"
7912,7912,2,0.5435644431995964,[5],['B'],A,False,None,1,7912,"(((#H1)#R0,(((B)#R1,A),#H0)))"
7913,7913,2,0.8112781244591328,[5],['B'],None,False,B,0,7913,"(((A,(((B)#R1)#R0,#H1)),#H0))"
7914,7914,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,7914,"(((A)#R0,(((B)#R1,#H0),#H1)))"
7915,7915,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,7915,"(((B)#R0,(((A)#R1,#H0),#H1)))"
7916,7916,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,7916,"(((B)#R1,((A)#R0,(#H0,#H1))))"
7917,7917,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,7917,"(((A)#R1,((B)#R0,(#H0,#H1))))"
7918,7918,2,0.5435644431995964,[5],['A'],B,False,None,1,7918,"(((((A)#R1)#R0,(B,#H1)),#H0))"
7919,7919,2,0.8112781244591328,[5],['B'],None,False,B,0,7919,"(((#H1)#R0,(A,((B)#R1,#H0))))"
