Iteration;Newick
450;((((#H0)#R1,((B,A))#R0),#H1));
451;(((B,#H1),(((A)#R0)#R1,#H0)));
452;(((B,((#H0)#R1,(A)#R0)),#H1));
453;((((B)#R1,(A)#R0),(#H0,#H1)));
454;((((B,#H0),#H1),((A)#R0)#R1));
455;((((A)#R1)#R0,((B,#H1),#H0)));
456;(((((A)#R1)#R0,(B,#H1)),#H0));
457;((((A)#R0,((B,#H0))#R1),#H1));
458;((((B)#R0,(A)#R1),(#H0,#H1)));
459;((((A,((B)#R1)#R0),#H1),#H0));
460;((((B)#R1,#H0),((A)#R0,#H1)));
461;((((B)#R0)#R1,((A,#H1),#H0)));
462;((A,((#H1)#R0,((B)#R1,#H0))));
463;((((A)#R0,(B)#R1),(#H0,#H1)));
464;((((((B)#R0)#R1,#H0),#H1),A));
465;(((((B,#H0))#R1,(A)#R0),#H1));
466;((((#H1)#R0,((B)#R1,A)),#H0));
467;(((A,((#H1)#R0,(B)#R1)),#H0));
468;((((((A,B))#R1)#R0,#H1),#H0));
469;(((#H0,#H1),((B)#R1,(A)#R0)));
470;((((#H1)#R0,(B,(A)#R1)),#H0));
471;((A,((((B)#R0)#R1,#H0),#H1)));
472;((((A)#R0,(B)#R1),(#H0,#H1)));
473;((((#H0)#R1,((B,A))#R0),#H1));
474;(((((B)#R0)#R1,A),(#H0,#H1)));
475;(((#H1)#R0,(((B)#R1,#H0),A)));
476;((((B)#R0)#R1,((A,#H0),#H1)));
477;(((#H0,#H1),(((A)#R1)#R0,B)));
478;(((((B)#R1)#R0,(A,#H1)),#H0));
479;(((A)#R1,(((B)#R0,#H1),#H0)));
480;(((B,(((A)#R1)#R0,#H1)),#H0));
481;((((((B)#R1)#R0,A),#H1),#H0));
482;(((#H1)#R0,(((B,A))#R1,#H0)));
483;((((B,#H0))#R1,((A)#R0,#H1)));
484;(((A)#R0,((#H0)#R1,(B,#H1))));
485;(((((B)#R0,(A)#R1),#H1),#H0));
486;(((((A,#H0))#R1,(B)#R0),#H1));
487;(((B)#R1,(((A)#R0,#H1),#H0)));
488;(((A)#R0,((B,#H1),(#H0)#R1)));
489;(((B)#R1,(((A)#R0,#H1),#H0)));
490;((((((B)#R0)#R1,A),#H1),#H0));
491;((((B,(A)#R0))#R1,(#H0,#H1)));
492;((B,(((#H1)#R0,(A)#R1),#H0)));
493;((((B)#R0,((A)#R1,#H0)),#H1));
494;((((B,#H1),((A)#R1)#R0),#H0));
