Iteration;Newick
486;(((#H0)#R1,(B,((A)#R0,#H1))));
487;((((A,#H1),((B)#R0)#R1),#H0));
488;((((A)#R0)#R1,((B,#H1),#H0)));
489;(((B,(((A)#R1)#R0,#H1)),#H0));
490;((((A)#R1,(#H1)#R0),(B,#H0)));
491;(((((B)#R1)#R0,(A,#H0)),#H1));
492;((((A)#R0,(B)#R1),(#H0,#H1)));
493;((((A)#R0,#H1),((B,#H0))#R1));
494;(((#H1)#R0,(A,((B)#R1,#H0))));
495;((((((A)#R0)#R1,#H0),B),#H1));
496;((B,((((A)#R1)#R0,#H1),#H0)));
497;(((((A)#R1)#R0,(B,#H1)),#H0));
498;(((((A,#H1))#R0,(B)#R1),#H0));
499;(((((A)#R1)#R0,(B,#H1)),#H0));
500;(((((#H1)#R0,(A)#R1),B),#H0));
501;(((B)#R0,(((A)#R1,#H0),#H1)));
502;(((A)#R0,((B)#R1,(#H0,#H1))));
503;((((((B)#R1)#R0,#H1),#H0),A));
504;(((((B)#R1)#R0,#H1),(A,#H0)));
505;(((((B)#R0,(A)#R1),#H1),#H0));
506;((((A,(B)#R0))#R1,(#H0,#H1)));
507;((((A)#R1,((B,#H1))#R0),#H0));
