,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list,has_leaf_on_bottom_of_triangle,reticulated_cherries,Iteration,Newick
9371,9371,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,9371,"(((B)#R1,((A)#R0,(#H0,#H1))))"
9372,9372,2,0.8112781244591328,[5],['A'],B,False,A,0,9372,"((((A)#R1,(#H1)#R0),(B,#H0)))"
9373,9373,2,1.0,[5],"['A', 'B']",None,False,None,0,9373,"((((A)#R1,(B)#R0),(#H0,#H1)))"
9374,9374,2,1.0,[4],[],None,False,None,0,9374,"((((((B,A))#R0)#R1,#H0),#H1))"
9375,9375,2,0.5435644431995964,[5],['A'],B,False,None,1,9375,"((((A)#R1)#R0,((B,#H1),#H0)))"
9376,9376,2,1.0,[4],[],None,False,None,0,9376,"(((#H0,#H1),(((A,B))#R1)#R0))"
9377,9377,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,9377,"(((A)#R0,(((B)#R1,#H0),#H1)))"
9378,9378,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,9378,"(((B)#R1,(((A)#R0,#H1),#H0)))"
9379,9379,2,0.5435644431995964,[5],['B'],A,True,None,0,9379,"(((B)#R1,((A,(#H1)#R0),#H0)))"
9380,9380,2,0.9544340029249649,[5],['B'],A,False,None,1,9380,"(((((A,#H1))#R0,(B)#R1),#H0))"
9381,9381,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,9381,"(((B)#R1,((A)#R0,(#H0,#H1))))"
9382,9382,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,9382,"(((((B)#R0,(A)#R1),#H1),#H0))"
9383,9383,2,1.0,[4],['A'],None,False,A,0,9383,"((B,(((A)#R1)#R0,(#H0,#H1))))"
9384,9384,2,1.0,[4],['A'],None,False,A,0,9384,"((B,(((A)#R0)#R1,(#H0,#H1))))"
9385,9385,2,1.0,[4],['B'],None,False,B,0,9385,"((A,(((B)#R1)#R0,(#H0,#H1))))"
9386,9386,2,0.9544340029249649,[5],['B'],A,False,None,1,9386,"((((B)#R0,((A,#H0))#R1),#H1))"
9387,9387,2,1.0,[4],['A'],None,False,A,0,9387,"((((((A)#R0)#R1,#H0),#H1),B))"
9388,9388,2,0.5435644431995964,[5],['B'],A,False,None,0,9388,"((((B)#R0)#R1,((A,#H1),#H0)))"
9389,9389,2,0.5435644431995964,[5],['B'],A,True,None,0,9389,"(((B)#R0,((#H0)#R1,(A,#H1))))"
9390,9390,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,9390,"(((((B)#R0,(A)#R1),#H1),#H0))"
9391,9391,2,0.8112781244591328,[5],['A'],B,False,A,0,9391,"(((B,#H1),(((A)#R0)#R1,#H0)))"
9392,9392,2,0.8112781244591328,[5],['B'],A,False,B,0,9392,"(((((B)#R0)#R1,#H0),(A,#H1)))"
9393,9393,2,0.9544340029249649,[5],['B'],A,False,None,1,9393,"(((((A,#H0))#R1,(B)#R0),#H1))"
9394,9394,2,0.5435644431995964,[5],['A'],B,False,None,0,9394,"(((#H1)#R0,((A)#R1,(B,#H0))))"
9395,9395,2,0.8112781244591328,[5],['A'],None,False,A,0,9395,"(((B,(((A)#R1)#R0,#H1)),#H0))"
9396,9396,2,0.8112781244591328,[5],['A'],B,False,A,0,9396,"(((((A)#R0)#R1,B),(#H0,#H1)))"
9397,9397,2,0.5435644431995964,[5],['A'],B,False,None,0,9397,"((((A)#R0,((#H0)#R1,B)),#H1))"
9398,9398,2,1.0,[4],['A'],None,False,A,0,9398,"((B,((((A)#R0)#R1,#H0),#H1)))"
9399,9399,2,0.5435644431995964,[5],['A'],B,False,None,0,9399,"((((((A)#R0)#R1,B),#H0),#H1))"
9400,9400,2,0.8112781244591328,[5],['A'],B,False,A,0,9400,"((((#H1)#R0,B),((A)#R1,#H0)))"
9401,9401,2,0.8112781244591328,[5],['A'],None,False,A,0,9401,"(((#H0)#R1,(B,((A)#R0,#H1))))"
9402,9402,2,0.9544340029249649,[5],['A'],B,False,None,1,9402,"(((((A)#R0,B))#R1,(#H0,#H1)))"
9403,9403,2,1.0,[4],[],None,False,None,0,9403,"(((((A,B))#R0,(#H0)#R1),#H1))"
9404,9404,2,0.5435644431995964,[5],['B'],A,False,None,1,9404,"((((B)#R1)#R0,((A,#H1),#H0)))"
9405,9405,2,1.0,[5],"['A', 'B']",None,False,None,0,9405,"((((A)#R0,#H1),((B)#R1,#H0)))"
9406,9406,2,0.8112781244591328,[5],['B'],None,False,B,0,9406,"((((B)#R1)#R0,((#H0,#H1),A)))"
9407,9407,2,1.0,[4],['B'],None,False,B,0,9407,"((A,(((B)#R1,(#H1)#R0),#H0)))"
9408,9408,2,0.5435644431995964,[5],['B'],A,False,None,1,9408,"(((#H0)#R1,((A,(B)#R0),#H1)))"
9409,9409,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,9409,"(((B)#R1,(((A)#R0,#H1),#H0)))"
9410,9410,2,1.0,[4],[],None,False,None,0,9410,"(((((B,A))#R0,(#H0)#R1),#H1))"
9411,9411,2,0.5435644431995964,[5],['A'],B,False,None,1,9411,"(((((A)#R1)#R0,(B,#H1)),#H0))"
9412,9412,2,0.5435644431995964,[5],['B'],A,False,None,0,9412,"((((B)#R1)#R0,((A,#H0),#H1)))"
9413,9413,2,1.0,[5],"['A', 'B']",None,False,None,0,9413,"((((A)#R1,(B)#R0),(#H0,#H1)))"
9414,9414,2,1.0,[4],[],None,False,None,0,9414,"(((((A,B))#R0,(#H0)#R1),#H1))"
9415,9415,2,1.0,[4],['B'],None,False,B,0,9415,"(((((B)#R1)#R0,(#H0,#H1)),A))"
9416,9416,2,0.8112781244591328,[5],['A'],None,False,A,0,9416,"((((A)#R1)#R0,(B,(#H0,#H1))))"
9417,9417,2,1.0,[4],[],None,False,None,0,9417,"(((#H0,#H1),(((A,B))#R1)#R0))"
9418,9418,2,1.0,[4],['B'],None,False,B,0,9418,"((A,((((B)#R1)#R0,#H1),#H0)))"
